# Simulation warnings:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Recovery device deployment at high speed (28.1 m/s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Discontinuity in rocket body diameter.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s�),Total velocity (m/s),Total acceleration (m/s�),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (�),Lateral velocity (m/s),Lateral acceleration (m/s�),Latitude (�),Longitude (�),Gravitational acceleration (m/s�),Angle of attack (�),Roll rate (�/s),Pitch rate (�/s),Yaw rate (�/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg�m�),Rotational moment of inertia (kg�m�),CP location (cm),CG location (cm),Stability margin calibers (?),Mach number (?),Reynolds number (?),Thrust (N),Drag force (N),Drag coefficient (?),Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Side force coefficient (?),Roll moment coefficient (?),Roll forcing coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Coriolis acceleration (m/s�),Reference length (cm),Reference area (cm�),Vertical orientation (zenith) (�),Lateral orientation (azimuth) (�),Wind velocity (m/s),Air temperature (�C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event LAUNCH occurred at t=0 seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Event IGNITION occurred at t=0 seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,-7.9228,0,7.9228,0,0,0,0,0,0,28.61,-80.6,9.7851,90,0,0,0,49.36,7.5977,0.00059101,3.2223E-06,NaN,19.71,NaN,0.0052996,34575,0.091923,0,1.1163,0,0.90544,0.090848,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1.8694,2.7448,90,0,NaN,0.05,766.08,331.33,0.01,0.0013451
0.01,0,0,-4.1982,0,4.1982,0,0,0,0,0,0,28.61,-80.6,9.7851,90,0,0,0,49.36,7.5977,0.00059101,3.2223E-06,NaN,19.71,NaN,0.0052773,34429,0.27577,0,1.1174,0,0.90658,0.090848,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1.8694,2.7448,90,0,NaN,0.05,766.08,331.33,0.01,0.0018066
0.02,0,0,0.034613,0,0.034613,0,0,0,0,0,0,28.61,-80.6,9.7851,90,0,0,0,49.356,7.5932,0.00059093,3.2222E-06,NaN,19.709,NaN,0.005255,34283,0.48466,0,1.1186,0,0.90773,0.090848,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1.8694,2.7448,90,0,NaN,0.05,766.08,331.33,0.01,0.0022502
0.03,1.785E-06,0.00035973,8.9637,0.00035973,8.9637,0,0,0,0,0,0,28.61,-80.6,9.7851,89.988,0,0,0,49.348,7.585,0.00059079,3.222E-06,NaN,19.706,NaN,0.0052326,34137,0.92521,0,1.1197,0,0.90888,0.090848,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.6057E-08,1.8694,2.7448,90,0,NaN,0.05,766.08,331.33,0.01,0.0028133
0.04,0.00045379,0.090052,19.043,0.090052,19.043,0,0,0,0,0,0,28.61,-80.6,9.7851,87.014,0,0,0,49.33,7.5677,0.00059049,3.2216E-06,NaN,19.702,NaN,0.0052174,34038,1.4221,1.5487E-07,1.1205,0.00038657,0.90967,0.090848,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.153E-05,1.8694,2.7448,90,0,NaN,0.049997,766.08,331.33,0.01,0.0034811
0.05,0.0023069,0.28059,29.605,0.28059,29.605,0,0,0,0,0,0,28.61,-80.6,9.7851,80.729,0,0,0,49.307,7.5449,0.00059009,3.2212E-06,NaN,19.696,NaN,0.0052566,34294,1.9422,4.3837E-06,1.1185,0.010779,0.90764,0.090848,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.5926E-05,1.8694,2.7448,90,0,NaN,0.049985,766.08,331.33,0.01,0.0042457
0.06,0.0065939,0.57685,43.012,0.57685,43.012,0,0,0,0,0,0,28.61,-80.6,9.7851,71.561,0,0,0,49.275,7.5125,0.00058953,3.2205E-06,NaN,19.687,NaN,0.0055045,35911,2.6016,3.3505E-05,1.1062,0.075134,0.8953,0.090849,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.3858E-05,1.8694,2.7448,90,0,NaN,0.049957,766.08,331.33,0.01,0.0048337
0.07,0.014515,1.0074,56.933,1.0074,56.933,0,0,0,0,0,0,28.61,-80.6,9.7851,59.95,0,0,0,49.223,7.4609,0.00058864,3.2194E-06,NaN,19.674,NaN,0.006072,39613,3.2843,0.00014703,1.0807,0.27096,0.86985,0.09085,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00012899,1.8694,2.7448,90,0,NaN,0.049906,766.07,331.33,0.01,0.0053799
# Event LIFTOFF occurred at t=0.08 seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.08,0.027439,1.5774,70.896,1.5774,70.896,0,0,0,0,0,0,28.61,-80.6,9.7851,48.013,0,0,0,49.162,7.3997,0.00058758,3.2181E-06,NaN,19.657,NaN,0.0071168,46429,3.9669,0.00043691,1.0418,0.58612,0.83091,0.090854,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00020197,1.8694,2.7448,90,0,NaN,0.049822,766.07,331.33,0.01,0.0059263
